mfr,calories,protein,fat,sodium,fiber,carbo,sugars,potass,vitamins,shelf,weight,cups,rating
1,100,3,2,140,2.5,10.5,8.0,140.0,25,3,1.0,0.5,39.7034
2,90,2,0,0,2.0,15.0,6.0,110.0,25,3,1.0,0.5,55.333142
6,110,1,0,240,0.0,23.0,2.0,30.0,25,1,1.0,1.13,41.998933
2,110,2,0,290,0.0,22.0,3.0,35.0,25,1,1.0,1.0,40.560159000000006
3,80,2,0,0,3.0,16.0,0.0,95.0,0,1,0.83,1.0,68.235885
3,90,3,0,0,4.0,19.0,0.0,140.0,0,1,1.0,0.67,74.472949
3,90,3,0,0,3.0,20.0,0.0,120.0,0,1,1.0,0.67,72.801787
2,110,2,1,70,1.0,9.0,15.0,40.0,25,2,1.0,0.75,31.230054
2,110,6,0,230,1.0,16.0,3.0,55.0,25,1,1.0,1.0,53.131324
3,90,2,0,15,3.0,15.0,5.0,90.0,25,2,1.0,1.0,59.36399300000001
1,110,2,1,200,0.0,21.0,3.0,35.0,100,3,1.0,1.0,38.839746000000005
1,140,3,1,190,4.0,15.0,14.0,230.0,100,3,1.5,1.0,28.592785
1,100,3,1,200,3.0,16.0,3.0,110.0,100,3,1.0,1.0,46.658844
1,110,2,1,250,0.0,21.0,3.0,60.0,25,3,1.0,0.75,39.106173999999996
1,110,1,1,140,0.0,13.0,12.0,25.0,25,2,1.0,1.0,27.753301
6,100,3,1,230,3.0,17.0,3.0,115.0,25,1,1.0,0.67,49.787445
1,100,3,1,200,3.0,17.0,3.0,110.0,25,1,1.0,1.0,51.592193
1,110,2,1,200,1.0,16.0,8.0,60.0,25,1,1.0,0.75,36.187559
